Date,Type,ID,Name,Body,URL,Role,Title,Background,Comment type,Nature of comments,Contributed artifacts,Why,Relevent SDLC or ML phase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-07-20T16:09:38Z,PC,661137820,alextp,approximate=False should be the default  On Mon  Jul 20  2020 at 9:07 AM Tzu-Wei Sung <notifications@github.com> wrote:  > Hi @alextp <https://github.com/alextp> @karmel <https://github.com/karmel>  > any suggestion on default value of the argument approximate? Thank you. > > — > You are receiving this because you were mentioned. > Reply to this email directly  view it on GitHub > <https://github.com/tensorflow/tensorflow/pull/41178#issuecomment-661134839>  > or unsubscribe > <https://github.com/notifications/unsubscribe-auth/AAABHRO3JQLVVVIHCSES5P3R4RTSLANCNFSM4OUA24CA> > . >   --   - Alex,https://github.com/tensorflow/tensorflow/pull/41178#issuecomment-661137820,,,,Conventional review,Feedback,Review,Assisting the changes,SWEBOK-Software engineering process,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-07-20T20:24:36Z,RC,451932520,alextp,APPROVED,https://github.com/tensorflow/tensorflow/pull/41178#pullrequestreview-451932520,,,,Management,Approval,Review,Approved changes,ML-Model Deployment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-07-27T17:16:49Z,Close,445836524,gbaned,Close event,https://github.com/tensorflow/tensorflow/pull/41178,,,,Management,Plan for merging into Tensorflow,Commit,Merging changes,ML-Model Deployment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-07-27T17:16:49Z,Merge,445836524,gbaned,Merge event,https://github.com/tensorflow/tensorflow/pull/41178,,,,Management,Plan for merging into Tensorflow,other ,Merging changes,ML-Model Deployment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-08-21T18:21:30Z,PC,678425734,nammbash,@WindQAQ @seanpmorgan @penpornk     I am confused if the RFC for C++ kernel implementation is created? Any updates? I understand the Python wrapper function is available now and merged in the master    Here is the discussion link:  https://github.com/tensorflow/tensorflow/pull/41178#issuecomment-655231498,https://github.com/tensorflow/tensorflow/pull/41178#issuecomment-678425734,,,,Conventional review,Clarification,other ,Asked question,SWEBOK-Software engineering management,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-08-22T12:18:47Z,PC,678633687,seanpmorgan,Waiting for an upcoming RFC on being able to easily support custom-ops with python op fallbacks. cc @alextp to see if there is any update on that?,https://github.com/tensorflow/tensorflow/pull/41178#issuecomment-678633687,,,,Conventional review,Explanation,other ,Asked question,SWEBOK-Software requirements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-20T19:44:55Z,PC,713096881,penpornk,@seanpmorgan Sorry for the delay! @allenlavoie told me custom device support could be used for this: https://github.com/tensorflow/tensorflow/blob/84967b39fa98d27f5984648f9ec47a159206cfda/tensorflow/c/eager/c_api_experimental.h#L477-L517    In the long run (i.e.  not now)  @allenlavoie also has an [RFC on front-end op handlers](https://github.com/tensorflow/community/pull/275) that could help as well.,https://github.com/tensorflow/tensorflow/pull/41178#issuecomment-713096881,,,,Conventional review,Explanation,Code,Explaining changes,SWEBOK-Software engineering process,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-20T19:57:55Z,PC,713103587,allenlavoie,"One challenge with the custom device approach is that they're currently mutually exclusive with physical devices (an op is either on a physical device or a custom device). So if we're thinking of something that filters through every eager operation and is turned on globally then the custom device approach seems challenging for anything other than prototyping.    The op handler RFC proposes an updated version of that mechanism which isn't mutually exclusive with physical devices  and there I could see a global composite op lowering handler working. But even once that's implemented  it being useful is blocked on Python migrating to the eager/graph agnostic C API (see ""risks"" in the proposal). I don't expect it to be implemented quickly.",https://github.com/tensorflow/tensorflow/pull/41178#issuecomment-713103587,,,,Conventional review,Comment,other ,Assisting the changes,SWEBOK-Software engineering process,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-20T20:41:49Z,PC,713127536,penpornk,Talked to Alex and he actually meant `tf.composite` by @liufengdb  so here it is  as another alternative:  [Code](https://github.com/tensorflow/tensorflow/tree/master/tensorflow/compiler/mlir/tfr)  [Examples](https://github.com/tensorflow/tensorflow/tree/master/tensorflow/compiler/mlir/tfr/examples)    @liufengdb plans to add some README and documentation soon.,https://github.com/tensorflow/tensorflow/pull/41178#issuecomment-713127536,,,,Conventional review,Comment,Link,Assisting the changes,SWEBOK-Software engineering management,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
unique values,6,37,10,36,37,,,,4,11,6,11,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Descriptive Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Sheet Stats,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# of pull requests,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
contributors (name):,gbaned,nammbash,allenlavoie,penpornk,seanpmorgan,,,,WindQAQ,hendrycks,karmel,alextp,saberkun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
frequency of contributor (name):,2,1,1,2,2,0,0,0,19,3,5,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
types:,Merge,PC,Close,Commit,RC,,,,DESCR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
frequency of types:,1,15,1,13,8,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# of messages,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sub-Category Stats,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comment Types Sub-Categories ,ML Review,Conventional Review,Management,Other,Initial Implementation,Initial Implementation,Initial Implementation,Initial Implementation,Dismissed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
total # used for each sub-category:,14,18,6,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
% compared to each sub-category:,155.56%,200.00%,66.67%,0.00%,0.00%,#DIV/0!,#DIV/0!,#DIV/0!,11.11%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
% compared to total messages,35.90%,46.15%,15.38%,0.00%,0.00%,#DIV/0!,#DIV/0!,#DIV/0!,2.56%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
total # of sub-categories to choose from: ,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
total # of sub-categories chosen:,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
% of sub-categories used of total:,44.44%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nature of Comments  Sub-Categories ,Approval,Bug fix,Build error,Clarification,Code,,,,Code convention and spacing,Code review,Comment,Duplicated entries,Enhancement Request,Explanation,Feedback,Introducing alterantive implementation,Model definition bug,Pinging,Plan for merging into Tensorflow,Question,References and referrals,Request a review,Request documentation improvment,Request test,Review,Review Assignment,Tags,Test cases,Request Verification,,,,,,,,,,,,,,,,,
total # used for each sub-category:,1,0,0,5,9,0,0,0,0,4,10,0,0,2,2,0,0,2,2,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
% compared to each sub-category:,10.00%,0.0%,0.00%,50.00%,90.00%,#DIV/0!,#DIV/0!,#DIV/0!,0.00%,40.00%,100.00%,0.00%,0.00%,20.00%,20.00%,0.00%,0.00%,20.00%,20.00%,0.00%,0.00%,10.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,,,,,,,,,
% compared to total messages,2.56%,0.00%,0.00%,12.82%,23.08%,#DIV/0!,#DIV/0!,#DIV/0!,0.00%,10.26%,25.64%,0.00%,0.00%,5.13%,5.13%,0.00%,0.00%,5.13%,5.13%,0.00%,0.00%,2.56%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,,,,,,,,,
total # of sub-categories to choose from: ,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
total # of sub-categories chosen:,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
% of sub-categories chosen from total:,38.46%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contributed Artifacts Sub-Categories,Code,Commit,Link,issue /bug,Review,,,,other ,Article,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
total # used for each sub-category:,19,1,2,0,4,0,0,0,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
% compared to each sub-category:,271.43%,14.29%,28.57%,0.00%,57.14%,#DIV/0!,#DIV/0!,#DIV/0!,171.43%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
% compared to total messages,48.72%,2.56%,5.13%,0.00%,10.26%,#DIV/0!,#DIV/0!,#DIV/0!,30.77%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
total # of sub-categories to choose from: ,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
total # of sub-categories chosen:,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
% of sub-categories chosen from total:,71.43%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Why Sub-Categories,Answering questions referring to a documented example,Approval of merging,Approval of underestanding,Approved changes,Asked question,,,,Asking possibiility to contribute,Assisting the changes,Build error,Build error resolved,Change in process status,Code changes,Code review,Coding convention,Comments and additional explenation,Duplicated,Change management,Enhancements,Explaining changes,Explaining plan,Facing an error,Maintenance,Merging changes,Need Patch verification,Question,Patch verification request,Waiting for other developes input,Pointing inconsistency and request for enhancment,Process managment,New Pull Request,Rebasing,External references,Reponse to the change request,Request for a review,Request for test,Request to delete deprecated code,Request approval for documentation,Response to an issue,Response to Requests for a change,Response to the review,Review decision,Code and Data smell,Underestding model input,Reporting errors
total # used for each sub-category:,0,0,0,3,5,0,0,0,0,18,0,0,0,1,2,0,0,0,0,0,2,1,0,0,2,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
% compared to each sub-category:,0.00%,0.00%,0.00%,6.98%,11.63%,#DIV/0!,#DIV/0!,#DIV/0!,0.00%,41.86%,0.00%,0.00%,0.00%,2.33%,4.65%,0.00%,0.00%,0.00%,0.00%,0.00%,4.65%,2.33%,0.00%,0.00%,4.65%,0.00%,6.98%,0.00%,0.00%,0.00%,2.33%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
% compared to total messages,0.00%,0.00%,0.00%,7.69%,12.82%,#DIV/0!,#DIV/0!,#DIV/0!,0.00%,46.15%,0.00%,0.00%,0.00%,2.56%,5.13%,0.00%,0.00%,0.00%,0.00%,0.00%,5.13%,2.56%,0.00%,0.00%,5.13%,0.00%,7.69%,0.00%,0.00%,0.00%,2.56%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
total # of sub-categories to choose from: ,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
total # of sub-categories chosen:,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
% of sub-categories chosen from total:,23.26%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Relevent SDLC or ML phases Sub-Categories,SWEBOK-Software requirements,SWEBOK-Software design,SWEBOK-Software construction,SWEBOK-Software testing,SWEBOK-Software maintenance,,,,SWEBOK-Software configuration management,SWEBOK-Software engineering management,SWEBOK-Software engineering process,SWEBOK-Software engineering tools and methods,SWEBOK-Software quality,PMBOK-Project Integration Management,PMBOK-Project Scope Management,PMBOK-Project Schedule Management,PMBOK-Project Cost Management,PMBOK-Project Quality Management,PMBOK-Project Resource Management,PMBOK-Project Communications Management,PMBOK-Project Risk Management,PMBOK-Project Procurement Management,PMBOK-Project Stakeholder Management,ML-Model Requirements,ML-Data Collection,ML-Data Cleaning,ML-Data Labelling,ML-Feature Engineering,ML-Model Training,ML-Evaluation,ML-Model Deployment,ML-Model Monitoring,,,,,,,,,,,,,,
total # used for each sub-category:,1,0,0,0,0,0,0,0,0,15,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,,,,,,,,,,,,,,
% compared to each sub-category:,3.45%,0.00%,0.00%,0.00%,0.00%,#DIV/0!,#DIV/0!,#DIV/0!,0.00%,51.72%,65.52%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,10.34%,0.00%,,,,,,,,,,,,,,
% compared to total messages,2.56%,0.00%,0.00%,0.00%,0.00%,#DIV/0!,#DIV/0!,#DIV/0!,0.00%,38.46%,48.72%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,7.69%,0.00%,,,,,,,,,,,,,,
total # of sub-categories to choose from: ,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
total # of sub-categories chosen:,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
% of sub-categories chosen from total:,13.79%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Visual Overview,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
